station_id,longitude,latitude,Z.Elev,date,pH,Aldrin,BHC,Dieldrin,DDTs,Heptachlor,Heptachlorepoxide,As,Cd,Pb,Cr6,Cu,Zn,Hg,DO,T,BOD5,COD,TOC,N_NH4,N_NO3,N_NO2,P_PO4,Coliform,Ecoli,WQI,Note,WQI_Level,WQI_Color
QLPH012016,105.68,9.3,0.66,29/2/2016,8.88,0.021,0.048,0.047,0.052,0.04,0.013,0.021,0.004,0.009,0.007,0.001,0.074,0.002,7.095,25,8.28,23.253,17.855,0.163,0.93,0.18,0.0,1300.0,92,20,,Kém,"RGB(255,0,0)"
QLPH012016,105.68,9.3,0.66,15/3/2016,8.3,0.022,0.021,0.019,0.019,0.041,0.013,0.021,0.006,0.009,0.008,0.001,0.019,0.002,6.913,25,8.3,20.133,16.598,0.53,0.88,0.2,0.0,1100.0,24,34,,Xấu,"RGB(255,126,0)"
QLPH012016,105.68,9.3,0.66,2/4/2016,7.62,0.02,0.021,0.019,0.021,0.031,0.012,0.016,0.006,0.005,0.012,0.002,0.018,0.002,5.28,25,8.61,17.552,13.335,0.129,0.463,0.31,0.0,1800.0,22,35,,Xấu,"RGB(255,126,0)"
QLPH012016,105.68,9.3,0.66,15/4/2016,8.44,0.021,0.025,0.023,0.028,0.031,0.013,0.019,0.006,0.001,0.008,0.008,0.027,0.002,6.235,25,8.62,19.609,15.416,0.5,0.14,0.21,0.0,7600.0,34,28,,Xấu,"RGB(255,126,0)"
QLPH012016,105.68,9.3,0.66,2/5/2016,8.58,0.024,0.047,0.044,0.049,0.044,0.014,0.021,0.008,0.009,0.006,0.004,0.067,0.002,6.945,25,10.32,23.696,17.77,0.1,0.9,0.15,0.0,3500.0,84,27,,Xấu,"RGB(255,126,0)"
QLPH012016,105.68,9.3,0.66,16/5/2016,7.35,0.017,0.041,0.038,0.046,0.033,0.01,0.018,0.008,0.003,0.004,0.003,0.065,0.001,5.888,25,10.02,21.702,15.555,0.36,0.3,0.1,0.0,2800.0,81,35,,Xấu,"RGB(255,126,0)"
QLPH012016,105.68,9.3,0.66,2/6/2016,7.23,0.017,0.015,0.012,0.014,0.033,0.01,0.018,0.007,0.003,0.006,0.0,0.014,0.001,6.008,25,9.34,18.932,14.862,0.14,0.3,0.15,0.0,100.0,18,76,,Tốt,"RGB(0,228,0)"
QLPH012016,105.68,9.3,0.66,15/6/2016,7.28,0.023,0.032,0.03,0.032,0.037,0.014,0.017,0.006,0.009,0.005,0.009,0.035,0.001,5.533,25,8.95,19.049,14.186,0.58,0.88,0.12,0.0,9200.0,44,31,,Xấu,"RGB(255,126,0)"
QLPH022016,105.53,9.26,0.54,29/2/2016,8.36,0.02,0.043,0.042,0.052,0.026,0.012,0.017,0.003,0.001,0.01,0.008,0.063,0.002,5.803,25,5.96,19.451,14.718,0.163,0.13,0.26,0.0,7900.0,79,28,,Xấu,"RGB(255,126,0)"
QLPH022016,105.53,9.26,0.54,15/3/2016,7.84,0.018,0.024,0.024,0.029,0.025,0.011,0.017,0.003,0.001,0.007,0.008,0.03,0.002,5.785,25,5.8,17.592,14.106,0.15,0.1,0.17,0.0,8100.0,37,31,,Xấu,"RGB(255,126,0)"
QLPH022016,105.53,9.26,0.54,2/4/2016,7.7,0.024,0.019,0.017,0.016,0.04,0.015,0.02,0.005,0.009,0.008,0.006,0.01,0.002,6.8,25,7.62,19.11,16.107,0.388,0.875,0.2,0.0,6400.0,12,56,,Trung bình,"RGB(255,255,0)"
QLPH022016,105.53,9.26,0.54,15/4/2016,7.33,0.016,0.028,0.026,0.029,0.03,0.01,0.015,0.006,0.005,0.006,0.001,0.038,0.001,4.908,25,8.16,17.805,12.856,0.8,0.5,0.15,0.0,1300.0,48,39,,Xấu,"RGB(255,126,0)"
QLPH022016,105.53,9.26,0.54,2/5/2016,7.73,0.034,0.031,0.029,0.033,0.036,0.02,0.02,0.005,0.006,0.036,0.001,0.014,0.002,6.508,25,7.64,18.853,15.587,0.2,0.6,0.9,0.0,1100.0,17,33,,Xấu,"RGB(255,126,0)"
